recommender,tourists,total_visits,avg_visits_per_tourist,avg_satisfaction,avg_sustainability,poi_coverage,neighbourhood_coverage,poi_entropy,district_entropy,district_gini,max_poi_utilization,over_capacity_share,peak_occupancy_ratio,temporal_overcap_share,avg_travel_km,intra_tourist_diversity,wealth_gini,wealth_entropy,neighbourhood_spend_gini,local_spend_share,avg_compliance,precision_at_5,recall_at_5,hit_rate_at_5,diversity_at_5,novelty_at_5,recommendation_coverage,exposure_gini,arm,run
sust_all,4000,10460,2.615,0.7496218859215392,0.6741147227533462,0.9803921568627451,1.0,3.8119908925432022,2.0717936084681527,0.365717017208413,0.7076923076923077,0.0,2.1794871794871797,0.13690248565965582,7.170178595085272,0.48423592085235917,0.33619822555854073,2.1143661582248092,0.30686220895961314,0.5354264698455087,0.7224708256558744,0.7826270071071335,0.22147280694095006,0.8028428533824691,0.5790389283729637,0.42780222865666406,1.0,0.3280553706083644,sust_all,0
sust_all,4000,10505,2.62625,0.7478785946111581,0.673713469776297,0.9803921568627451,1.0,3.8109897341947843,2.0694290596771623,0.3672060923369822,0.6653846153846154,0.0,2.1474358974358974,0.14059971442170396,7.210178221958947,0.4856328132128843,0.3371869883181855,2.1129251976696444,0.3079876476813639,0.5356122844128288,0.7168289046742086,0.7730246426379023,0.21914056937778217,0.7967201613610453,0.5810947411499898,0.4264814522494081,1.0,0.3272877966410628,sust_all,1
sust_all,4000,10537,2.63425,0.7485527485113271,0.6737059884217519,0.9803921568627451,1.0,3.8099800767334036,2.0694892131181324,0.3677422416247509,0.6423076923076924,0.0,2.0833333333333335,0.1328651418809908,7.195813833323725,0.48530803530803535,0.3365246354515705,2.113811001611187,0.307079442928359,0.5348543656706509,0.7179644389944819,0.7741087851449593,0.2217286364075488,0.8095822019795043,0.5792411900382471,0.42760935447140225,1.0,0.3297202142659639,sust_all,2
sust_all,4000,10580,2.645,0.7500850800016186,0.6746351606805292,0.9803921568627451,1.0,3.8125949549435902,2.0701787914592145,0.3669565217391304,0.6153846153846154,0.0,2.0512820512820515,0.13289224952741022,7.237283161870346,0.4782334241598547,0.33571988806444564,2.114811968757745,0.30687137385786856,0.5317895911816873,0.7185042809715184,0.7788397693517386,0.22472898543691913,0.8052594792940765,0.5801354184868076,0.4300506727240958,1.0,0.33121460361184485,sust_all,3
sust_all,4000,10517,2.62925,0.749378657219157,0.674380526766188,0.9803921568627451,1.0,3.8107445230709365,2.069935732449925,0.36707235903774826,0.6576923076923077,0.0,2.0512820512820515,0.12998003232861083,7.1844154066134855,0.4814068832032904,0.33462691727831206,2.1152923979377816,0.3042588130123687,0.5348367626422582,0.7238061920587721,0.7845723281441315,0.22715613453408945,0.8096903970613958,0.5753648475307562,0.4294598565681302,1.0,0.32971289617823696,sust_all,4
sust_value,4000,10715,2.67875,0.7475663327408809,0.6782958469435372,0.9803921568627451,1.0,3.7718643999854002,1.929916902072282,0.4675594960335976,0.5986666666666667,0.0,1.58,0.22323845076994867,6.9270898173710505,0.46561892804830657,0.4410527450181647,1.9736472168648946,0.3622112383903038,0.5824481367191935,0.7186278766825879,0.8300825010855406,0.23643175387716836,0.8291793313069908,0.5276439426834564,0.4534509769865393,1.0,0.3197098413833619,sust_value,0
sust_value,4000,10731,2.68275,0.7471077966647721,0.6786282732270991,0.9803921568627451,1.0,3.7670067691171427,1.921753559582743,0.4720249743733109,0.616,0.0,1.68,0.21815301463050973,6.933654365577056,0.4639046163985501,0.44621805977531204,1.9658971517412722,0.3651888609836331,0.5906685660356557,0.7234542134098617,0.8253065483955128,0.23734601564424548,0.8354639533872511,0.5252792996492448,0.4515820506130968,1.0,0.31554662042223636,sust_value,1
sust_value,4000,10793,2.69825,0.7466489020274402,0.6788427684610395,0.9803921568627451,1.0,3.7722712198096735,1.9327165535329356,0.4656814602056887,0.61,0.0,1.64,0.21708514778096916,6.968209810862005,0.46272094268880554,0.4390609589937218,1.977833111066797,0.35861660951836494,0.5837723448247958,0.720103986135182,0.8260138648180243,0.23865042693591718,0.8412478336221837,0.5244259098786829,0.45375701906412474,1.0,0.3144608692697184,sust_value,2
sust_value,4000,10815,2.70375,0.7478711032891139,0.6793943596856219,0.9803921568627451,1.0,3.7725627607583045,1.928325446801178,0.46815533980582513,0.596,0.0,1.58,0.22117429496070273,7.0094185289891335,0.46062763243756305,0.441344905311601,1.9747334574098439,0.36021096436578826,0.5827185787004941,0.7213525901582635,0.8298019545100752,0.2428125010214628,0.8356827812851336,0.5269944362766296,0.4560292311683819,1.0,0.3156511726890878,sust_value,3
sust_value,4000,10763,2.69075,0.7474655790553724,0.6796831738362911,0.9803921568627451,1.0,3.770920829831765,1.9305010356819026,0.46660782309764937,0.61,0.0,1.82,0.2165753042831924,6.965494921374032,0.45766329785648274,0.44090639652426855,1.9754640579159966,0.3576946572770028,0.5881431100277994,0.7251583788943852,0.8324394688883104,0.2433448127482885,0.8376290896467934,0.5251482542162053,0.452681072637334,1.0,0.3131904987978009,sust_value,4
sust_spread,4000,10521,2.63025,0.7530234253896249,0.651163387510693,0.9803921568627451,1.0,3.791079838068016,2.079252936486186,0.3567246459462028,0.6923076923076923,0.0,2.0833333333333335,0.14086113487311092,7.025357653322145,0.49279952872938193,0.3291649647001982,2.124324862411015,0.319957657802612,0.49024718551836893,0.7147223192455466,0.803388054488299,0.2314524847137937,0.8155780649668181,0.5919462393759459,0.3929060426126441,1.0,0.3358536568661694,sust_spread,0
sust_spread,4000,10637,2.65925,0.7505544144387867,0.6512221491021906,0.9803921568627451,1.0,3.791132025383644,2.080705327204001,0.35531634859452854,0.676923076923077,0.0,1.955128205128205,0.15295666071260694,7.11416580081694,0.4943992895632017,0.3268400852462112,2.126169392691185,0.31819030361343636,0.49332638185580757,0.7251349939035011,0.791168785925797,0.22901228864730114,0.8222435115833479,0.5945183765894444,0.3919975614004529,1.0,0.3348811951187025,sust_spread,1
