recommender,poi,district,neighbourhood,lat,lon,visits,capacity,utilization,popularity,sustainability,local_value,run
popularity,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,266,1600,0.16625,0.82,0.57,0.64,1
popularity,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,0,400,0.0,0.72,0.54,0.46,1
popularity,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,0,650,0.0,0.66,0.7,0.5,1
popularity,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,0,600,0.0,0.68,0.61,0.48,1
popularity,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,0,350,0.0,0.58,0.62,0.45,1
popularity,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,0,700,0.0,0.62,0.6,0.75,1
popularity,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,0,1500,0.0,0.73,0.49,0.48,1
popularity,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,0,750,0.0,0.77,0.38,0.43,1
popularity,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,0,260,0.0,0.36,0.72,0.62,1
popularity,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,0,420,0.0,0.55,0.78,0.58,1
popularity,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,0,800,0.0,0.63,0.58,0.54,1
popularity,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,0,600,0.0,0.61,0.7,0.5,1
popularity,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,0,500,0.0,0.65,0.66,0.42,1
popularity,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,0,450,0.0,0.64,0.64,0.52,1
popularity,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,0,350,0.0,0.32,0.88,0.64,1
popularity,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,0,650,0.0,0.43,0.78,0.88,1
popularity,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,0,330,0.0,0.45,0.7,0.55,1
popularity,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,0,700,0.0,0.4,0.68,0.84,1
popularity,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,0,1200,0.0,0.47,0.72,0.58,1
popularity,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,0,220,0.0,0.24,0.73,0.62,1
popularity,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,0,700,0.0,0.49,0.76,0.9,1
popularity,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,519,1600,0.324375,0.83,0.43,0.62,1
popularity,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,0,750,0.0,0.48,0.71,0.86,1
popularity,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,0,270,0.0,0.46,0.62,0.5,1
popularity,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,0,500,0.0,0.5,0.75,0.72,1
popularity,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,0,390,0.0,0.38,0.68,0.54,1
popularity,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,0,350,0.0,0.42,0.72,0.64,1
popularity,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,0,260,0.0,0.51,0.6,0.5,1
popularity,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,0,300,0.0,0.2,0.84,0.82,1
popularity,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,0,600,0.0,0.22,0.8,0.86,1
popularity,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,0,700,0.0,0.18,0.9,0.72,1
popularity,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,0,500,0.0,0.16,0.88,0.66,1
popularity,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,0,500,0.0,0.3,0.78,0.88,1
popularity,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,0,280,0.0,0.18,0.86,0.84,1
popularity,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,0,650,0.0,0.28,0.93,0.52,1
popularity,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,0,300,0.0,0.44,0.7,0.54,1
popularity,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,0,500,0.0,0.34,0.74,0.82,1
popularity,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,0,550,0.0,0.21,0.88,0.66,1
popularity,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,0,1000,0.0,0.31,0.76,0.55,1
popularity,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,0,800,0.0,0.29,0.86,0.62,1
personalized,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,241,900,0.2677777777777778,0.99,0.45,0.45,1
personalized,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,133,550,0.24181818181818182,0.94,0.42,0.4,1
personalized,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,149,520,0.2865384615384615,0.9,0.46,0.42,1
personalized,Park Guell,Gracia,La Salut,41.4145,2.1527,160,800,0.2,0.92,0.62,0.5,1
personalized,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,706,1200,0.5883333333333334,0.88,0.35,0.55,1
personalized,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,413,700,0.59,0.87,0.5,0.82,1
personalized,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,360,650,0.5538461538461539,0.84,0.5,0.48,1
personalized,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,748,1800,0.41555555555555557,0.89,0.44,0.7,1
personalized,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,231,480,0.48125,0.8,0.55,0.52,1
personalized,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,303,500,0.606,0.76,0.58,0.55,1
personalized,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,322,1300,0.24769230769230768,0.74,0.83,0.56,1
personalized,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,430,1600,0.26875,0.82,0.57,0.64,1
personalized,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,121,400,0.3025,0.72,0.54,0.46,1
personalized,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,54,650,0.08307692307692308,0.66,0.7,0.5,1
personalized,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,160,600,0.26666666666666666,0.68,0.61,0.48,1
personalized,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,104,350,0.29714285714285715,0.58,0.62,0.45,1
personalized,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,196,700,0.28,0.62,0.6,0.75,1
personalized,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,262,1500,0.17466666666666666,0.73,0.49,0.48,1
personalized,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,14,750,0.018666666666666668,0.77,0.38,0.43,1
personalized,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,20,260,0.07692307692307693,0.36,0.72,0.62,1
personalized,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,31,420,0.07380952380952381,0.55,0.78,0.58,1
personalized,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,24,800,0.03,0.63,0.58,0.54,1
personalized,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,131,600,0.21833333333333332,0.61,0.7,0.5,1
personalized,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,14,500,0.028,0.65,0.66,0.42,1
personalized,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,85,450,0.18888888888888888,0.64,0.64,0.52,1
personalized,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,2,350,0.005714285714285714,0.32,0.88,0.64,1
personalized,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,172,650,0.26461538461538464,0.43,0.78,0.88,1
personalized,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,100,330,0.30303030303030304,0.45,0.7,0.55,1
personalized,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,284,700,0.4057142857142857,0.4,0.68,0.84,1
personalized,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,345,1200,0.2875,0.47,0.72,0.58,1
personalized,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,39,220,0.17727272727272728,0.24,0.73,0.62,1
personalized,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,168,700,0.24,0.49,0.76,0.9,1
personalized,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,608,1600,0.38,0.83,0.43,0.62,1
personalized,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,260,750,0.3466666666666667,0.48,0.71,0.86,1
personalized,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,10,270,0.037037037037037035,0.46,0.62,0.5,1
personalized,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,144,500,0.288,0.5,0.75,0.72,1
personalized,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,14,390,0.035897435897435895,0.38,0.68,0.54,1
personalized,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,34,350,0.09714285714285714,0.42,0.72,0.64,1
personalized,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,54,260,0.2076923076923077,0.51,0.6,0.5,1
personalized,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,1,300,0.0033333333333333335,0.2,0.84,0.82,1
personalized,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,29,600,0.04833333333333333,0.22,0.8,0.86,1
personalized,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,106,700,0.15142857142857144,0.18,0.9,0.72,1
personalized,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,71,500,0.142,0.16,0.88,0.66,1
personalized,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,136,500,0.272,0.3,0.78,0.88,1
personalized,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,16,280,0.05714285714285714,0.18,0.86,0.84,1
personalized,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,29,650,0.04461538461538461,0.28,0.93,0.52,1
personalized,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,101,300,0.33666666666666667,0.44,0.7,0.54,1
personalized,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,48,500,0.096,0.34,0.74,0.82,1
personalized,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,22,550,0.04,0.21,0.88,0.66,1
personalized,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,176,1000,0.176,0.31,0.76,0.55,1
personalized,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,246,800,0.3075,0.29,0.86,0.62,1
sustainable,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,102,900,0.11333333333333333,0.99,0.45,0.45,1
sustainable,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,38,550,0.06909090909090909,0.94,0.42,0.4,1
sustainable,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,58,520,0.11153846153846154,0.9,0.46,0.42,1
sustainable,Park Guell,Gracia,La Salut,41.4145,2.1527,142,800,0.1775,0.92,0.62,0.5,1
sustainable,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,97,1200,0.08083333333333333,0.88,0.35,0.55,1
sustainable,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,131,700,0.18714285714285714,0.87,0.5,0.82,1
sustainable,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,101,650,0.15538461538461537,0.84,0.5,0.48,1
sustainable,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,240,1800,0.13333333333333333,0.89,0.44,0.7,1
sustainable,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,81,480,0.16875,0.8,0.55,0.52,1
sustainable,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,137,500,0.274,0.76,0.58,0.55,1
sustainable,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,284,1300,0.21846153846153846,0.74,0.83,0.56,1
sustainable,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,110,1600,0.06875,0.82,0.57,0.64,1
sustainable,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,52,400,0.13,0.72,0.54,0.46,1
sustainable,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,90,650,0.13846153846153847,0.66,0.7,0.5,1
sustainable,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,143,600,0.23833333333333334,0.68,0.61,0.48,1
sustainable,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,85,350,0.24285714285714285,0.58,0.62,0.45,1
sustainable,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,194,700,0.27714285714285714,0.62,0.6,0.75,1
sustainable,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,47,1500,0.03133333333333333,0.73,0.49,0.48,1
sustainable,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,24,750,0.032,0.77,0.38,0.43,1
sustainable,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,226,260,0.8692307692307693,0.36,0.72,0.62,1
sustainable,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,201,420,0.4785714285714286,0.55,0.78,0.58,1
sustainable,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,29,800,0.03625,0.63,0.58,0.54,1
sustainable,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,172,600,0.2866666666666667,0.61,0.7,0.5,1
sustainable,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,116,500,0.232,0.65,0.66,0.42,1
sustainable,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,225,450,0.5,0.64,0.64,0.52,1
sustainable,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,194,350,0.5542857142857143,0.32,0.88,0.64,1
sustainable,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,298,650,0.4584615384615385,0.43,0.78,0.88,1
sustainable,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,102,330,0.3090909090909091,0.45,0.7,0.55,1
sustainable,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,309,700,0.44142857142857145,0.4,0.68,0.84,1
sustainable,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,169,1200,0.14083333333333334,0.47,0.72,0.58,1
sustainable,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,81,220,0.36818181818181817,0.24,0.73,0.62,1
sustainable,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,401,700,0.5728571428571428,0.49,0.76,0.9,1
sustainable,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,250,1600,0.15625,0.83,0.43,0.62,1
sustainable,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,473,750,0.6306666666666667,0.48,0.71,0.86,1
sustainable,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,99,270,0.36666666666666664,0.46,0.62,0.5,1
sustainable,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,204,500,0.408,0.5,0.75,0.72,1
sustainable,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,61,390,0.1564102564102564,0.38,0.68,0.54,1
sustainable,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,99,350,0.28285714285714286,0.42,0.72,0.64,1
sustainable,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,53,260,0.20384615384615384,0.51,0.6,0.5,1
sustainable,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,185,300,0.6166666666666667,0.2,0.84,0.82,1
sustainable,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,405,600,0.675,0.22,0.8,0.86,1
sustainable,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,370,700,0.5285714285714286,0.18,0.9,0.72,1
sustainable,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,252,500,0.504,0.16,0.88,0.66,1
sustainable,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,276,500,0.552,0.3,0.78,0.88,1
sustainable,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,135,280,0.48214285714285715,0.18,0.86,0.84,1
sustainable,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,224,650,0.3446153846153846,0.28,0.93,0.52,1
sustainable,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,110,300,0.36666666666666664,0.44,0.7,0.54,1
sustainable,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,169,500,0.338,0.34,0.74,0.82,1
sustainable,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,167,550,0.30363636363636365,0.21,0.88,0.66,1
sustainable,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,140,1000,0.14,0.31,0.76,0.55,1
sustainable,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,215,800,0.26875,0.29,0.86,0.62,1
popularity,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,993,900,1.1033333333333333,0.99,0.45,0.45,2
popularity,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,446,550,0.8109090909090909,0.94,0.42,0.4,2
popularity,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,434,520,0.8346153846153846,0.9,0.46,0.42,2
popularity,Park Guell,Gracia,La Salut,41.4145,2.1527,1293,800,1.61625,0.92,0.62,0.5,2
popularity,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,1403,1200,1.1691666666666667,0.88,0.35,0.55,2
popularity,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,732,700,1.0457142857142858,0.87,0.5,0.82,2
popularity,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,307,650,0.4723076923076923,0.84,0.5,0.48,2
popularity,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,2042,1800,1.1344444444444444,0.89,0.44,0.7,2
popularity,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,19,480,0.03958333333333333,0.8,0.55,0.52,2
popularity,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,12,500,0.024,0.76,0.58,0.55,2
popularity,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,2,1300,0.0015384615384615385,0.74,0.83,0.56,2
popularity,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,288,1600,0.18,0.82,0.57,0.64,2
popularity,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,0,400,0.0,0.72,0.54,0.46,2
popularity,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,0,650,0.0,0.66,0.7,0.5,2
popularity,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,0,600,0.0,0.68,0.61,0.48,2
popularity,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,0,350,0.0,0.58,0.62,0.45,2
popularity,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,0,700,0.0,0.62,0.6,0.75,2
popularity,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,0,1500,0.0,0.73,0.49,0.48,2
popularity,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,0,750,0.0,0.77,0.38,0.43,2
popularity,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,0,260,0.0,0.36,0.72,0.62,2
popularity,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,0,420,0.0,0.55,0.78,0.58,2
popularity,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,0,800,0.0,0.63,0.58,0.54,2
popularity,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,0,600,0.0,0.61,0.7,0.5,2
popularity,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,0,500,0.0,0.65,0.66,0.42,2
popularity,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,0,450,0.0,0.64,0.64,0.52,2
popularity,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,0,350,0.0,0.32,0.88,0.64,2
popularity,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,0,650,0.0,0.43,0.78,0.88,2
popularity,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,0,330,0.0,0.45,0.7,0.55,2
popularity,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,0,700,0.0,0.4,0.68,0.84,2
popularity,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,0,1200,0.0,0.47,0.72,0.58,2
popularity,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,0,220,0.0,0.24,0.73,0.62,2
popularity,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,0,700,0.0,0.49,0.76,0.9,2
popularity,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,528,1600,0.33,0.83,0.43,0.62,2
popularity,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,0,750,0.0,0.48,0.71,0.86,2
popularity,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,0,270,0.0,0.46,0.62,0.5,2
popularity,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,0,500,0.0,0.5,0.75,0.72,2
popularity,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,0,390,0.0,0.38,0.68,0.54,2
popularity,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,0,350,0.0,0.42,0.72,0.64,2
popularity,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,0,260,0.0,0.51,0.6,0.5,2
popularity,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,0,300,0.0,0.2,0.84,0.82,2
popularity,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,0,600,0.0,0.22,0.8,0.86,2
popularity,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,0,700,0.0,0.18,0.9,0.72,2
popularity,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,0,500,0.0,0.16,0.88,0.66,2
popularity,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,0,500,0.0,0.3,0.78,0.88,2
popularity,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,0,280,0.0,0.18,0.86,0.84,2
popularity,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,0,650,0.0,0.28,0.93,0.52,2
popularity,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,0,300,0.0,0.44,0.7,0.54,2
popularity,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,0,500,0.0,0.34,0.74,0.82,2
popularity,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,0,550,0.0,0.21,0.88,0.66,2
popularity,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,0,1000,0.0,0.31,0.76,0.55,2
popularity,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,0,800,0.0,0.29,0.86,0.62,2
personalized,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,265,900,0.29444444444444445,0.99,0.45,0.45,2
personalized,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,142,550,0.2581818181818182,0.94,0.42,0.4,2
personalized,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,150,520,0.28846153846153844,0.9,0.46,0.42,2
personalized,Park Guell,Gracia,La Salut,41.4145,2.1527,163,800,0.20375,0.92,0.62,0.5,2
personalized,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,682,1200,0.5683333333333334,0.88,0.35,0.55,2
personalized,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,406,700,0.58,0.87,0.5,0.82,2
personalized,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,368,650,0.5661538461538461,0.84,0.5,0.48,2
personalized,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,765,1800,0.425,0.89,0.44,0.7,2
personalized,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,231,480,0.48125,0.8,0.55,0.52,2
personalized,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,311,500,0.622,0.76,0.58,0.55,2
personalized,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,345,1300,0.2653846153846154,0.74,0.83,0.56,2
personalized,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,395,1600,0.246875,0.82,0.57,0.64,2
personalized,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,117,400,0.2925,0.72,0.54,0.46,2
personalized,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,56,650,0.08615384615384615,0.66,0.7,0.5,2
personalized,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,158,600,0.2633333333333333,0.68,0.61,0.48,2
personalized,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,99,350,0.28285714285714286,0.58,0.62,0.45,2
personalized,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,191,700,0.27285714285714285,0.62,0.6,0.75,2
personalized,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,232,1500,0.15466666666666667,0.73,0.49,0.48,2
personalized,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,14,750,0.018666666666666668,0.77,0.38,0.43,2
personalized,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,29,260,0.11153846153846154,0.36,0.72,0.62,2
personalized,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,35,420,0.08333333333333333,0.55,0.78,0.58,2
personalized,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,33,800,0.04125,0.63,0.58,0.54,2
personalized,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,138,600,0.23,0.61,0.7,0.5,2
personalized,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,28,500,0.056,0.65,0.66,0.42,2
personalized,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,91,450,0.20222222222222222,0.64,0.64,0.52,2
personalized,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,0,350,0.0,0.32,0.88,0.64,2
personalized,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,189,650,0.2907692307692308,0.43,0.78,0.88,2
