recommender,neighbourhood,visits,share,run
crowd_aware,Sant Pere,720,0.06980802792321117,0
crowd_aware,Sants,214,0.020748497188287765,0
crowd_aware,Turo de la Peira,131,0.012701182858250922,0
crowd_aware,Vallvidrera,235,0.022784564669381422,0
crowd_aware,Vila de Gracia,351,0.034031413612565446,0
sustainable,Barceloneta,417,0.03941398865784499,0
sustainable,Born,393,0.037145557655954634,0
sustainable,Collserola,232,0.021928166351606805,0
sustainable,Diagonal Mar,459,0.04338374291115312,0
sustainable,Dreta de l'Eixample,616,0.05822306238185255,0
sustainable,El Carmel,141,0.01332703213610586,0
sustainable,El Clot,163,0.015406427221172022,0
sustainable,Font de la Guatlla,230,0.021739130434782608,0
sustainable,Fort Pienc,404,0.038185255198487714,0
sustainable,Gotic,826,0.0780718336483932,0
sustainable,Guinardo,213,0.020132325141776937,0
sustainable,Horta,154,0.014555765595463137,0
sustainable,La Bordeta,103,0.009735349716446125,0
sustainable,La Guineueta,343,0.032419659735349715,0
sustainable,La Maternitat,110,0.010396975425330813,0
sustainable,La Salut,221,0.020888468809073725,0
sustainable,Montjuic,498,0.04706994328922495,0
sustainable,Pedralbes,183,0.01729678638941399,0
sustainable,Poblenou,710,0.0671077504725898,0
sustainable,Raval,555,0.05245746691871456,0
sustainable,Raval/Gotic,380,0.035916824196597356,0
sustainable,Sagrada Familia,205,0.019376181474480152,0
sustainable,Sant Andreu,489,0.04621928166351607,0
sustainable,Sant Antoni,320,0.030245746691871456,0
sustainable,Sant Gervasi,209,0.019754253308128543,0
sustainable,Sant Pere,633,0.05982986767485822,0
sustainable,Sants,298,0.028166351606805293,0
sustainable,Turo de la Peira,257,0.024291115311909264,0
sustainable,Vallvidrera,276,0.02608695652173913,0
sustainable,Vila de Gracia,542,0.05122873345935728,0
random,Barceloneta,428,0.03897996357012751,1
random,Born,522,0.047540983606557376,1
random,Collserola,235,0.021402550091074682,1
random,Diagonal Mar,525,0.04781420765027322,1
random,Dreta de l'Eixample,532,0.04845173041894353,1
random,El Carmel,216,0.019672131147540985,1
random,El Clot,231,0.02103825136612022,1
random,Font de la Guatlla,223,0.020309653916211295,1
random,Fort Pienc,470,0.042805100182149364,1
random,Gotic,845,0.07695810564663023,1
random,Guinardo,122,0.011111111111111112,1
random,Horta,185,0.016848816029143898,1
random,La Bordeta,138,0.012568306010928962,1
random,La Guineueta,322,0.029326047358834244,1
random,La Maternitat,59,0.005373406193078324,1
random,La Salut,177,0.01612021857923497,1
random,Montjuic,535,0.048724954462659384,1
random,Pedralbes,183,0.016666666666666666,1
random,Poblenou,831,0.07568306010928962,1
random,Raval,818,0.07449908925318761,1
random,Raval/Gotic,419,0.03816029143897996,1
random,Sagrada Familia,138,0.012568306010928962,1
random,Sant Andreu,374,0.03406193078324226,1
random,Sant Antoni,239,0.021766848816029145,1
random,Sant Gervasi,224,0.02040072859744991,1
random,Sant Pere,640,0.058287795992714025,1
random,Sants,328,0.02987249544626594,1
random,Turo de la Peira,249,0.0226775956284153,1
random,Vallvidrera,290,0.026411657559198543,1
random,Vila de Gracia,482,0.04389799635701275,1
popularity,Barceloneta,703,0.0645131687620446,1
popularity,Born,241,0.02211617876479765,1
popularity,Collserola,7,0.0006423786363219235,1
popularity,Diagonal Mar,48,0.004404882077636047,1
popularity,Dreta de l'Eixample,1614,0.14811415986051207,1
popularity,El Carmel,18,0.0016518307791135176,1
popularity,El Clot,4,0.00036707350646967055,1
popularity,Font de la Guatlla,96,0.008809764155272093,1
popularity,Fort Pienc,150,0.013765256492612645,1
popularity,Gotic,2332,0.21400385427181792,1
popularity,Guinardo,10,0.0009176837661741764,1
popularity,Horta,1,9.176837661741764e-05,1
popularity,La Bordeta,1,9.176837661741764e-05,1
popularity,La Guineueta,194,0.01780306506377902,1
popularity,La Maternitat,53,0.004863723960723135,1
popularity,La Salut,985,0.09039185096815637,1
popularity,Montjuic,155,0.014224098375699734,1
popularity,Pedralbes,59,0.00541433422042764,1
popularity,Poblenou,383,0.035147288244470956,1
popularity,Raval,731,0.06708268330733229,1
popularity,Raval/Gotic,1265,0.11608699642103332,1
popularity,Sagrada Familia,795,0.07295585941084702,1
popularity,Sant Andreu,5,0.0004588418830870882,1
popularity,Sant Antoni,18,0.0016518307791135176,1
popularity,Sant Gervasi,58,0.005322565843810223,1
popularity,Sant Pere,422,0.03872625493255024,1
popularity,Sants,198,0.01817013857024869,1
popularity,Turo de la Peira,83,0.007616775259245664,1
popularity,Vallvidrera,74,0.006790859869688905,1
popularity,Vila de Gracia,194,0.01780306506377902,1
personalized,Barceloneta,592,0.054814814814814816,1
personalized,Born,477,0.04416666666666667,1
personalized,Collserola,96,0.008888888888888889,1
personalized,Diagonal Mar,495,0.04583333333333333,1
personalized,Dreta de l'Eixample,1047,0.09694444444444444,1
personalized,El Carmel,79,0.007314814814814815,1
personalized,El Clot,73,0.006759259259259259,1
personalized,Font de la Guatlla,251,0.023240740740740742,1
personalized,Fort Pienc,355,0.03287037037037037,1
personalized,Gotic,1330,0.12314814814814815,1
personalized,Guinardo,123,0.01138888888888889,1
personalized,Horta,35,0.0032407407407407406,1
personalized,La Bordeta,40,0.003703703703703704,1
personalized,La Guineueta,183,0.016944444444444446,1
personalized,La Maternitat,49,0.004537037037037037,1
personalized,La Salut,239,0.02212962962962963,1
personalized,Montjuic,464,0.04296296296296296,1
personalized,Pedralbes,85,0.00787037037037037,1
personalized,Poblenou,807,0.07472222222222222,1
personalized,Raval,687,0.0636111111111111,1
personalized,Raval/Gotic,729,0.0675,1
personalized,Sagrada Familia,291,0.026944444444444444,1
personalized,Sant Andreu,124,0.011481481481481481,1
personalized,Sant Antoni,245,0.022685185185185187,1
personalized,Sant Gervasi,171,0.015833333333333335,1
personalized,Sant Pere,804,0.07444444444444444,1
personalized,Sants,250,0.023148148148148147,1
personalized,Turo de la Peira,131,0.012129629629629629,1
personalized,Vallvidrera,149,0.013796296296296296,1
personalized,Vila de Gracia,399,0.036944444444444446,1
crowd_aware,Barceloneta,619,0.05972597452720957,1
crowd_aware,Born,379,0.03656889231956773,1
crowd_aware,Collserola,146,0.014087225009648784,1
crowd_aware,Diagonal Mar,485,0.04679660362794288,1
crowd_aware,Dreta de l'Eixample,967,0.09330374372829024,1
crowd_aware,El Carmel,113,0.010903126206098032,1
crowd_aware,El Clot,116,0.011192589733693555,1
crowd_aware,Font de la Guatlla,233,0.022481667309918952,1
crowd_aware,Fort Pienc,315,0.030393670397529913,1
crowd_aware,Gotic,1109,0.10700501736781165,1
crowd_aware,Guinardo,129,0.012446931686607487,1
crowd_aware,Horta,68,0.006561173292165187,1
crowd_aware,La Bordeta,56,0.005403319181783096,1
crowd_aware,La Guineueta,175,0.016885372443072172,1
crowd_aware,La Maternitat,128,0.012350443844075647,1
crowd_aware,La Salut,239,0.023060594365109995,1
crowd_aware,Montjuic,489,0.047182554998070246,1
crowd_aware,Pedralbes,88,0.008490930142802007,1
crowd_aware,Poblenou,715,0.0689888074102663,1
crowd_aware,Raval,639,0.06165573137784639,1
crowd_aware,Raval/Gotic,574,0.05538402161327673,1
crowd_aware,Sagrada Familia,296,0.028560401389424932,1
crowd_aware,Sant Andreu,177,0.017078348128135856,1
crowd_aware,Sant Antoni,239,0.023060594365109995,1
crowd_aware,Sant Gervasi,174,0.016788884600540333,1
crowd_aware,Sant Pere,735,0.07091856426090312,1
crowd_aware,Sants,219,0.021130837514473175,1
crowd_aware,Turo de la Peira,131,0.01263990737167117,1
crowd_aware,Vallvidrera,242,0.023350057892705518,1
crowd_aware,Vila de Gracia,369,0.035604013894249324,1
sustainable,Barceloneta,416,0.039090396542003386,1
sustainable,Born,391,0.036741214057507986,1
sustainable,Collserola,232,0.02180041345611727,1
sustainable,Diagonal Mar,456,0.042849088517196016,1
sustainable,Dreta de l'Eixample,612,0.05750798722044728,1
sustainable,El Carmel,144,0.01353129111069348,1
sustainable,El Clot,165,0.01550460439766961,1
sustainable,Font de la Guatlla,234,0.021988348054876903,1
sustainable,Fort Pienc,394,0.03702311595564743,1
sustainable,Gotic,834,0.0783687276827664,1
sustainable,Guinardo,201,0.01888742717534298,1
sustainable,Horta,163,0.01531666979890998,1
sustainable,La Bordeta,100,0.009396729937981583,1
sustainable,La Guineueta,343,0.032230783687276825,1
sustainable,La Maternitat,107,0.010054501033640292,1
sustainable,La Salut,221,0.020766773162939296,1
sustainable,Montjuic,482,0.04529223830107123,1
sustainable,Pedralbes,182,0.01710204848712648,1
sustainable,Poblenou,738,0.06934786694230408,1
sustainable,Raval,570,0.05356136064649502,1
sustainable,Raval/Gotic,391,0.036741214057507986,1
sustainable,Sagrada Familia,200,0.018793459875963165,1
sustainable,Sant Andreu,488,0.04585604209735012,1
sustainable,Sant Antoni,329,0.030915241495959405,1
sustainable,Sant Gervasi,201,0.01888742717534298,1
sustainable,Sant Pere,664,0.06239428678819771,1
sustainable,Sants,312,0.029317797406502536,1
sustainable,Turo de la Peira,256,0.02405562864123285,1
sustainable,Vallvidrera,265,0.024901334335651195,1
sustainable,Vila de Gracia,551,0.05177598195827852,1
random,Barceloneta,455,0.04128107421520595,2
random,Born,500,0.04536381781890764,2
random,Collserola,240,0.021774632553075667,2
random,Diagonal Mar,499,0.045273090183269825,2
random,Dreta de l'Eixample,606,0.054980947196516056,2
random,El Carmel,212,0.019234258755216838,2
random,El Clot,226,0.020504445654146254,2
random,Font de la Guatlla,220,0.01996007984031936,2
random,Fort Pienc,481,0.043639992741789146,2
random,Gotic,837,0.07593903102885138,2
random,Guinardo,134,0.012157503175467247,2
random,Horta,170,0.015423698058428597,2
random,La Bordeta,151,0.013699872981310108,2
random,La Guineueta,316,0.02866993286154963,2
random,La Maternitat,80,0.007258210851025223,2
random,La Salut,177,0.016058791507893303,2
random,Montjuic,493,0.04472872436944293,2
random,Pedralbes,176,0.015968063872255488,2
random,Poblenou,864,0.0783886771910724,2
random,Raval,833,0.07557612048630012,2
random,Raval/Gotic,453,0.04109961894393032,2
random,Sagrada Familia,131,0.011885320268553802,2
random,Sant Andreu,389,0.035293050263110144,2
random,Sant Antoni,254,0.02304481945200508,2
random,Sant Gervasi,229,0.020776628561059697,2
random,Sant Pere,584,0.05298493921248412,2
random,Sants,341,0.03093812375249501,2
random,Turo de la Peira,271,0.02458718925784794,2
random,Vallvidrera,243,0.022046815459989114,2
random,Vila de Gracia,457,0.04146252948648158,2
popularity,Barceloneta,700,0.06402634226653252,2
popularity,Born,229,0.020945760541479924,2
popularity,Collserola,12,0.0010975944388548432,2
popularity,Diagonal Mar,61,0.0055794383975121195,2
popularity,Dreta de l'Eixample,1627,0.14881551266806914,2
popularity,El Carmel,19,0.0017378578615201683,2
popularity,El Clot,1,9.146620323790359e-05,2
popularity,Font de la Guatlla,92,0.008414890697887131,2
popularity,Fort Pienc,164,0.01500045733101619,2
popularity,Gotic,2335,0.2135735845605049,2
popularity,Guinardo,19,0.0017378578615201683,2
popularity,Horta,3,0.0002743986097137108,2
popularity,La Bordeta,0,0.0,2
popularity,La Guineueta,188,0.017195646208725875,2
popularity,La Maternitat,60,0.0054879721942742155,2
popularity,La Salut,984,0.09000274398609713,2
popularity,Montjuic,149,0.013628464282447636,2
popularity,Pedralbes,59,0.005396505991036312,2
popularity,Poblenou,371,0.03393396140126223,2
popularity,Raval,727,0.0664959297539559,2
popularity,Raval/Gotic,1258,0.11506448367328272,2
popularity,Sagrada Familia,808,0.0739046922162261,2
popularity,Sant Andreu,4,0.00036586481295161437,2
popularity,Sant Antoni,25,0.00228665508094759,2
popularity,Sant Gervasi,79,0.007225830055794384,2
popularity,Sant Pere,395,0.03612915027897192,2
popularity,Sants,187,0.01710418000548797,2
popularity,Turo de la Peira,91,0.008323424494649227,2
popularity,Vallvidrera,75,0.006859965242842769,2
popularity,Vila de Gracia,211,0.019299368883197658,2
personalized,Barceloneta,593,0.0547249907715024,2
personalized,Born,468,0.04318936877076412,2
personalized,Collserola,118,0.010889627168696936,2
personalized,Diagonal Mar,513,0.0473421926910299,2
personalized,Dreta de l'Eixample,1063,0.09809892949427833,2
personalized,El Carmel,88,0.008121077888519748,2
personalized,El Clot,81,0.007475083056478406,2
personalized,Font de la Guatlla,247,0.02279438907345884,2
personalized,Fort Pienc,370,0.03414544112218531,2
personalized,Gotic,1288,0.11886304909560723,2
personalized,Guinardo,125,0.01153562200073828,2
personalized,Horta,42,0.003875968992248062,2
personalized,La Bordeta,44,0.004060538944259874,2
personalized,La Guineueta,189,0.01744186046511628,2
personalized,La Maternitat,53,0.0048911037283130305,2
personalized,La Salut,233,0.021502399409376153,2
personalized,Montjuic,472,0.04355850867478774,2
personalized,Pedralbes,81,0.007475083056478406,2
personalized,Poblenou,804,0.07419712070874862,2
personalized,Raval,660,0.06090808416389812,2
personalized,Raval/Gotic,717,0.06616832779623477,2
personalized,Sagrada Familia,298,0.027500922849760058,2
personalized,Sant Andreu,123,0.011351052048726468,2
personalized,Sant Antoni,241,0.022240679217423405,2
personalized,Sant Gervasi,193,0.017811000369139903,2
personalized,Sant Pere,784,0.07235142118863049,2
personalized,Sants,248,0.022886674049464747,2
personalized,Turo de la Peira,138,0.01273532668881506,2
personalized,Vallvidrera,161,0.014857881136950904,2
personalized,Vila de Gracia,401,0.037006275378368404,2
crowd_aware,Barceloneta,609,0.05886332882273342,2
crowd_aware,Born,373,0.036052580707519814,2
crowd_aware,Collserola,154,0.014884979702300407,2
crowd_aware,Diagonal Mar,492,0.04755461047747922,2
crowd_aware,Dreta de l'Eixample,975,0.09423931954378503,2
crowd_aware,El Carmel,108,0.010438816934080804,2
crowd_aware,El Clot,119,0.011502029769959404,2
crowd_aware,Font de la Guatlla,234,0.02261743669050841,2
crowd_aware,Fort Pienc,317,0.030639860815774213,2
crowd_aware,Gotic,1099,0.10622462787550745,2
crowd_aware,Guinardo,130,0.012565242605838006,2
crowd_aware,Horta,67,0.006475932727624202,2
